id,font_name,family_name,foundry,country,style,weight,optical_size,width,google_equivalent,serif_angle,contrast,x_height_ratio,stroke_width,geometric_index
52,Helvetica Now Display Condensed Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Display,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
53,Helvetica Now Display Expanded Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Display,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
54,Helvetica Now Display Expanded Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Display,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
55,Helvetica Now Display Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Display,Normal,Inter,0.0,0.15,0.52,0.15,0.72
56,Helvetica Now Display Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Display,Normal,Inter,0.0,0.15,0.52,0.15,0.72
57,Helvetica Now Display Condensed Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Display,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
58,Helvetica Now Display Condensed Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Display,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
59,Helvetica Now Display Expanded Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Display,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
60,Helvetica Now Display Expanded Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Display,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
61,Helvetica Now Display Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Display,Normal,Inter,0.0,0.15,0.52,0.5,0.72
62,Helvetica Now Display Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Display,Normal,Inter,0.0,0.15,0.52,0.5,0.72
63,Helvetica Now Display Condensed Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Display,Condensed,Inter,0.0,0.15,0.52,0.5,0.45
64,Helvetica Now Display Condensed Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Display,Condensed,Inter,0.0,0.15,0.52,0.5,0.45
65,Helvetica Now Display Expanded Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Display,Expanded,Inter,0.0,0.15,0.52,0.5,0.72
66,Helvetica Now Display Expanded Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Display,Expanded,Inter,0.0,0.15,0.52,0.5,0.72
67,Helvetica Now Display Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Display,Normal,Inter,0.0,0.15,0.52,0.5,0.72
68,Helvetica Now Display Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Display,Normal,Inter,0.0,0.15,0.52,0.5,0.72
69,Helvetica Now Display Condensed Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Display,Condensed,Inter,0.0,0.15,0.52,0.5,0.45
70,Helvetica Now Display Condensed Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Display,Condensed,Inter,0.0,0.15,0.52,0.5,0.45
71,Helvetica Now Display Expanded Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Display,Expanded,Inter,0.0,0.15,0.52,0.5,0.72
72,Helvetica Now Display Expanded Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Display,Expanded,Inter,0.0,0.15,0.52,0.5,0.72
73,Helvetica Now Display SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
74,Helvetica Now Display SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
75,Helvetica Now Display Condensed SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
76,Helvetica Now Display Condensed SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
77,Helvetica Now Display Expanded SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
78,Helvetica Now Display Expanded SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
79,Helvetica Now Display Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
80,Helvetica Now Display Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
81,Helvetica Now Display Condensed Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
82,Helvetica Now Display Condensed Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
83,Helvetica Now Display Expanded Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
84,Helvetica Now Display Expanded Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
85,Helvetica Now Display ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
86,Helvetica Now Display ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
87,Helvetica Now Display Condensed ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
88,Helvetica Now Display Condensed ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
89,Helvetica Now Display Expanded ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
90,Helvetica Now Display Expanded ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
91,Helvetica Now Display Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
92,Helvetica Now Display Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Display,Normal,Inter,0.0,0.15,0.52,0.85,0.72
93,Helvetica Now Display Condensed Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
94,Helvetica Now Display Condensed Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Display,Condensed,Inter,0.0,0.15,0.52,0.85,0.45
95,Helvetica Now Display Expanded Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
96,Helvetica Now Display Expanded Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Display,Expanded,Inter,0.0,0.15,0.52,0.85,0.72
97,Helvetica Now Headline Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Headline,Normal,Inter,0.0,0.15,0.58,0.15,0.72
98,Helvetica Now Headline Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Headline,Normal,Inter,0.0,0.15,0.58,0.15,0.72
99,Helvetica Now Headline Condensed Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Headline,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
100,Helvetica Now Headline Condensed Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Headline,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
101,Helvetica Now Headline Expanded Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Headline,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
102,Helvetica Now Headline Expanded Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Headline,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
103,Helvetica Now Headline Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Headline,Normal,Inter,0.0,0.15,0.58,0.15,0.72
104,Helvetica Now Headline Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Headline,Normal,Inter,0.0,0.15,0.58,0.15,0.72
105,Helvetica Now Headline Condensed Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Headline,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
106,Helvetica Now Headline Condensed Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Headline,Condensed,Inter,0.0,0.15,0.58,0.15,0.45
107,Helvetica Now Headline Expanded Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Headline,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
108,Helvetica Now Headline Expanded Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Headline,Expanded,Inter,0.0,0.15,0.58,0.15,0.72
109,Helvetica Now Headline Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Headline,Normal,Inter,0.0,0.15,0.58,0.5,0.72
110,Helvetica Now Headline Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Headline,Normal,Inter,0.0,0.15,0.58,0.5,0.72
111,Helvetica Now Headline Condensed Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Headline,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
112,Helvetica Now Headline Condensed Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Headline,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
113,Helvetica Now Headline Expanded Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Headline,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
114,Helvetica Now Headline Expanded Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Headline,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
115,Helvetica Now Headline Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Headline,Normal,Inter,0.0,0.15,0.58,0.5,0.72
116,Helvetica Now Headline Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Headline,Normal,Inter,0.0,0.15,0.58,0.5,0.72
117,Helvetica Now Headline Condensed Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Headline,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
118,Helvetica Now Headline Condensed Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Headline,Condensed,Inter,0.0,0.15,0.58,0.5,0.45
119,Helvetica Now Headline Expanded Medium,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Headline,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
120,Helvetica Now Headline Expanded Medium Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Medium 500,Headline,Expanded,Inter,0.0,0.15,0.58,0.5,0.72
121,Helvetica Now Headline SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
122,Helvetica Now Headline SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
123,Helvetica Now Headline Condensed SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
124,Helvetica Now Headline Condensed SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
125,Helvetica Now Headline Expanded SemiBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
126,Helvetica Now Headline Expanded SemiBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,SemiBold 600,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
127,Helvetica Now Headline Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
128,Helvetica Now Headline Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
129,Helvetica Now Headline Condensed Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
130,Helvetica Now Headline Condensed Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
131,Helvetica Now Headline Expanded Bold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
132,Helvetica Now Headline Expanded Bold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Bold 700,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
133,Helvetica Now Headline ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
134,Helvetica Now Headline ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
135,Helvetica Now Headline Condensed ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
136,Helvetica Now Headline Condensed ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
137,Helvetica Now Headline Expanded ExtraBold,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
138,Helvetica Now Headline Expanded ExtraBold Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,ExtraBold 800,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
139,Helvetica Now Headline Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
140,Helvetica Now Headline Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Headline,Normal,Inter,0.0,0.15,0.58,0.85,0.72
141,Helvetica Now Headline Condensed Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
142,Helvetica Now Headline Condensed Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Headline,Condensed,Inter,0.0,0.15,0.58,0.85,0.45
143,Helvetica Now Headline Expanded Black,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
144,Helvetica Now Headline Expanded Black Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Black 900,Headline,Expanded,Inter,0.0,0.15,0.58,0.85,0.72
145,Helvetica Now Poster Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Poster,Normal,Inter,0.0,0.15,0.52,0.15,0.72
146,Helvetica Now Poster Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Poster,Normal,Inter,0.0,0.15,0.52,0.15,0.72
147,Helvetica Now Poster Condensed Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Poster,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
148,Helvetica Now Poster Condensed Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Poster,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
149,Helvetica Now Poster Expanded Thin,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Poster,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
150,Helvetica Now Poster Expanded Thin Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Thin 100,Poster,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
151,Helvetica Now Poster Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Poster,Normal,Inter,0.0,0.15,0.52,0.15,0.72
152,Helvetica Now Poster Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Poster,Normal,Inter,0.0,0.15,0.52,0.15,0.72
153,Helvetica Now Poster Condensed Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Poster,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
154,Helvetica Now Poster Condensed Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Poster,Condensed,Inter,0.0,0.15,0.52,0.15,0.45
155,Helvetica Now Poster Expanded Light,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Poster,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
156,Helvetica Now Poster Expanded Light Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Light 300,Poster,Expanded,Inter,0.0,0.15,0.52,0.15,0.72
157,Helvetica Now Poster Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Poster,Normal,Inter,0.0,0.15,0.52,0.5,0.72
158,Helvetica Now Poster Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Poster,Normal,Inter,0.0,0.15,0.52,0.5,0.72
159,Helvetica Now Poster Condensed Regular,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Poster,Condensed,Inter,0.0,0.15,0.52,0.5,0.45
160,Helvetica Now Poster Condensed Regular Italic,Helvetica Now,Monotype,Switzerland / USA,Grotesque,Regular 400,Poster,Condensed,Inter,0.0,0.15,0.52,0.5,0.45
